ts,cgroup_current_bytes,mem_available_kb,load1,ollama_pids,ollama_rss_kb_total,ollama_cpu_pct_total
2026-04-28T02:29:24Z,5360304128,2455728,2.04,"389 10351 10384",4912476,186.2
2026-04-28T02:29:27Z,5360136192,2455476,2.04,"389 10351 10384",4912476,186.2
2026-04-28T02:29:29Z,5360504832,2447412,2.04,"389 10351 10384",4912476,186.2
2026-04-28T02:29:31Z,5360414720,2447412,2.04,"389 10351 10384",4912540,186.2
2026-04-28T02:29:33Z,5360279552,2447164,2.03,"389 10351 10384",4912540,186.2
2026-04-28T02:29:35Z,5360418816,2447164,2.03,"389 10351 10384",4912544,186.2
2026-04-28T02:29:37Z,5360242688,2447164,2.03,"389 10351 10384",4912544,186.2
2026-04-28T02:29:39Z,5360410624,2447164,2.03,"389 10351 10384",4912544,186.2
2026-04-28T02:29:41Z,5360189440,2447164,2.03,"389 10351 10384",4912544,187.2
2026-04-28T02:29:43Z,5360099328,2447164,2.03,"389 10351 10384",4912544,187.2
2026-04-28T02:29:45Z,5360582656,2447240,2.03,"389 10351 10384",4912544,187.2
2026-04-28T02:29:48Z,5353820160,2447248,2.03,"389 10351 10384",4906156,187.2
2026-04-28T02:29:50Z,5353709568,2447248,2.03,"389 10351 10384",4906156,187.2
2026-04-28T02:29:52Z,5353816064,2447248,2.03,"389 10351 10384",4906156,187.2
2026-04-28T02:29:54Z,5353885696,2447264,2.02,"389 10351 10384",4906156,187.2
2026-04-28T02:29:56Z,5353738240,2447264,2.02,"389 10351 10384",4906156,187.2
2026-04-28T02:29:58Z,5353775104,2447264,2.02,"389 10351 10384",4906156,187.2
2026-04-28T02:30:00Z,5353811968,2447264,2.02,"389 10351 10384",4906156,188.2
2026-04-28T02:30:02Z,5353693184,2447264,2.02,"389 10351 10384",4906156,188.2
2026-04-28T02:30:05Z,5353766912,2447272,1.94,"389 10351 10384",4906156,188.2
2026-04-28T02:30:07Z,5353672704,2447272,1.94,"389 10351 10384",4906156,188.2
2026-04-28T02:30:09Z,5353967616,2447272,1.94,"389 10351 10384",4906156,188.2
2026-04-28T02:30:11Z,5353914368,2447024,1.94,"389 10351 10384",4906156,188.2
2026-04-28T02:30:13Z,5353824256,2447024,1.95,"389 10351 10384",4906156,188.2
2026-04-28T02:30:15Z,5354024960,2447024,1.95,"389 10351 10384",4906160,188.2
2026-04-28T02:30:18Z,5353582592,2447024,1.95,"389 10351 10384",4906160,188.2
2026-04-28T02:30:20Z,5353885696,2447024,1.95,"389 10351 10384",4906160,188.2
2026-04-28T02:30:22Z,5354008576,2454336,1.95,"389 10351 10384",4906160,188.2
2026-04-28T02:30:24Z,5353848832,2454336,1.96,"389 10351 10384",4906160,188.2
